country,iso3,mean_temp,std_temp,median_temp,max_temp,min_temp,warming_rate,trend_r2,early_mean,early_std,recent_mean,recent_std,period_change,acceleration,years_data,cluster
"Afghanistan, Islamic Rep. of",AFG,0.48466129032258065,0.6862247102937127,0.4635,2.012,-1.124,0.02728480773589181,0.5062886938176299,-0.03110000000000001,0.5472193729257611,1.1883846153846154,0.5280496407317432,1.2194846153846153,0.019829435483870974,62,0
Albania,ALB,0.4713870967741936,0.6907542244121162,0.3355,2.028,-0.814,0.02964488428898795,0.5898499654249761,-0.05719999999999997,0.38264338213895305,1.4363846153846156,0.2615481276494311,1.4935846153846155,0.050116532258064506,62,1
Algeria,DZA,0.7248709677419356,0.7219799944478618,0.6930000000000001,2.33,-0.782,0.033318375261262634,0.6820346538633845,0.004099999999999988,0.3677158370836171,1.5654615384615387,0.4226280112550941,1.5613615384615387,0.013073387096774199,62,1
American Samoa,ASM,0.4762881355932203,0.5375132336044517,0.344,1.539,-0.562,0.026172746891378072,0.7820882208343543,-0.03315,0.2641206412946454,1.2446923076923078,0.217701012329366,1.2778423076923078,0.017066548022516274,59,0
"Andorra, Principality of",AND,0.7928064516129032,0.8329703135071401,0.833,3.243,-0.752,0.03759683714839716,0.6524281836166772,-0.019400000000000008,0.3761941547994375,1.7704615384615385,0.6985457054224172,1.7898615384615386,0.02024274193548387,62,1
Angola,AGO,0.4815,0.5019809066539895,0.4155,1.752,-0.313,0.02353456221198157,0.7039259719466586,0.016649999999999998,0.21949565994989995,1.1832307692307693,0.3468515902241557,1.1665807692307693,0.01636249999999999,62,0
Anguilla,AIA,0.4042096774193548,0.4164328214070755,0.458,1.224,-0.426,0.019115081463574334,0.6747634376098997,-0.019450000000000002,0.2823846713821041,0.8770769230769232,0.21110876404453283,0.8965269230769232,0.001260080645161291,62,0
Antigua and Barbuda,ATG,0.39622950819672126,0.414012171890548,0.455,1.153,-0.467,0.018419571330220052,0.6413170492438555,-0.010249999999999981,0.2905093304054649,0.8645384615384615,0.19216729490412574,0.8747884615384615,0.001335449074832169,61,0
Argentina,ARG,0.3297258064516129,0.36646591045767885,0.3605,1.123,-0.343,0.013579587519830775,0.43973914921933,0.08009999999999999,0.26121072356483216,0.7451538461538463,0.30612166594178586,0.6650538461538463,0.01449032258064516,62,0
"Armenia, Rep. of",ARM,1.0975161290322581,0.8571685147292102,1.194,2.775,-1.31,0.06508387096774194,0.4612159493082659,0.0,0.0,1.685923076923077,0.6415289629131409,1.685923076923077,-0.03382731092436976,31,2
"Aruba, Kingdom of the Netherlands",ABW,0.401608695652174,0.4827514203370396,0.371,1.309,-0.518,0.020971359565988317,0.6417838528685655,0.00872222222222223,0.29623158777343656,0.9916,0.2991678087257681,0.9828777777777779,0.014165415636000394,46,0
Australia,AUS,0.486483870967742,0.47122286837051763,0.40049999999999997,1.499,-0.522,0.019852131651179775,0.5683956094101033,0.07175,0.33584424256365913,0.972,0.4197262997081153,0.90025,0.003985887096774186,62,0
Austria,AUT,0.8093709677419353,0.9100492229486193,0.8245,2.524,-0.883,0.040530155372566795,0.635207927174691,0.01395,0.5397949391350287,1.8788461538461543,0.5962058992990378,1.8648961538461544,0.02590846774193548,62,1
"Azerbaijan, Rep. of",AZE,1.1226451612903225,0.7994237661969138,1.252,2.327,-1.009,0.0676600806451613,0.5730610596821971,0.0,0.0,1.715076923076923,0.4534395331865212,1.715076923076923,-0.029118067226890768,31,2
"Bahamas, The",BHS,0.4282903225806452,0.46428982838853716,0.3535,1.611,-0.469,0.020553045755584094,0.6275714498536407,-0.0029499999999999917,0.21709214027325138,0.9532307692307692,0.4491325256992925,0.9561807692307692,0.004715725806451611,62,0
"Bahrain, Kingdom of",BHR,0.7375645161290323,0.8813941965480807,0.6,2.464,-0.834,0.041036110901261594,0.6941944782076112,0.015250000000000003,0.45869229165209724,1.9215384615384616,0.37287031154379835,1.9062884615384617,0.05051370967741936,62,1
Bangladesh,BGD,0.23262903225806453,0.44353307451574125,0.148,1.337,-0.579,0.018346377578001057,0.5479460127367969,-0.054749999999999986,0.23810896996742348,0.8056153846153845,0.42108442115992584,0.8603653846153845,0.034062499999999996,62,0
Barbados,BRB,0.28376363636363633,0.39306159423111303,0.31,1.147,-0.556,0.018460461760461757,0.5558587395495581,-0.047700000000000006,0.2715313493580631,0.7293333333333334,0.26606440323099717,0.7770333333333334,0.008548397962191069,55,0
"Belarus, Rep. of",BLR,1.5117096774193546,0.816706335406702,1.561,3.51,-0.274,0.05733185483870969,0.3942304112796496,0.0,0.0,1.9740000000000002,0.6654455900622779,1.9740000000000002,0.014163655462184857,31,2
Belize,BLZ,0.4862741935483872,0.4889669547959393,0.4575,1.716,-0.416,0.02337984437561381,0.7321723953608658,0.0172,0.28224021124231263,1.1093846153846152,0.37693755859150346,1.092184615384615,0.009096774193548388,62,0
Benin,BEN,0.5055967741935483,0.45021401576316367,0.5365,1.522,-0.274,0.021606179647956487,0.7375765182170195,0.053200000000000004,0.27881395419281224,1.0386923076923078,0.21898720838418265,0.9854923076923078,0.002859274193548384,62,0
Bhutan,BTN,0.38769354838709674,0.5639693594030384,0.238,1.707,-0.565,0.026047568683740023,0.6831443858010366,-0.044950000000000004,0.2602147847654439,1.1428461538461538,0.38482460207083224,1.187796153846154,0.03655846774193549,62,0
Bolivia,BOL,0.4633870967741936,0.3981302005722504,0.4065,1.533,-0.583,0.016810203721890658,0.5709326060894259,0.0867,0.2617564356017773,0.8966153846153845,0.298946354848028,0.8099153846153845,0.003158467741935485,62,0
Bosnia and Herzegovina,BIH,1.210483870967742,0.6378992675542949,1.373,2.275,-0.043,0.050556048387096784,0.5024953204518986,0.0,0.0,1.6696153846153845,0.38176859013053505,1.6696153846153845,0.023005252100840347,31,2
Botswana,BWA,0.22012903225806452,0.5912456092415829,0.21350000000000002,1.546,-1.305,0.007276271058396916,0.048503270085621324,-0.019349999999999992,0.4148268218247985,0.46869230769230774,0.8360221672315657,0.4880423076923077,-0.01534516129032258,62,0
Brazil,BRA,0.5437096774193548,0.4936028306467423,0.483,1.517,-0.409,0.024940847624084005,0.8176289747658027,0.027649999999999997,0.21753989954658168,1.1986153846153846,0.244459450782585,1.1709653846153847,0.01011008064516129,62,0
British Virgin Islands,VGB,0.418258064516129,0.42567115641385134,0.4525,1.317,-0.368,0.019704061846843444,0.6862023734359018,-0.015800000000000015,0.28070392718457304,0.9016923076923078,0.24499911041178107,0.9174923076923078,0.0013645161290322567,62,0
Brunei Darussalam,BRN,0.5069193548387098,0.5349790559176607,0.441,1.783,-0.337,0.02686049205509808,0.8073159016184158,-0.0012999999999999928,0.18001464852675328,1.314,0.32473117086804787,1.3153000000000001,0.026905241935483885,62,0
Bulgaria,BGR,0.5286290322580645,0.8088428459717676,0.3975,2.192,-0.838,0.03158754501271688,0.48841904352250287,-0.0013499999999999983,0.5401559497034166,1.5557692307692308,0.4995655035205016,1.5571192307692308,0.06334233870967743,62,1
Burkina Faso,BFA,0.5450322580645162,0.48179014196525555,0.5455000000000001,1.624,-0.316,0.02161924907456372,0.6448438012783001,0.07550000000000001,0.3438606663966335,1.0437692307692308,0.2666102504425245,0.9682692307692308,-0.0042697580645161305,62,0
Cabo Verde,CPV,0.816140350877193,0.6549072905755438,0.821,2.0,-0.568,0.029339777970122966,0.6394675028535985,0.153,0.43449172468935404,1.4593636363636364,0.3517118913904598,1.3063636363636364,-0.009358693041472431,57,1
Cambodia,KHM,0.4719999999999999,0.45721089931410525,0.4315,1.552,-0.485,0.020543526982448188,0.6465557856612247,0.029549999999999993,0.3081468335917661,1.0301538461538462,0.3286162519195316,1.0006038461538462,0.0011084677419354871,62,0
Cameroon,CMR,0.4367903225806451,0.4786627251233133,0.327,1.47,-0.384,0.02261879579965249,0.7151034611631079,0.0419,0.22716326148482077,1.06,0.31260224993858676,1.0181,0.02251290322580645,62,0
Canada,CAN,0.6500806451612902,0.914209887992254,0.4765,2.915,-1.796,0.03398682984563471,0.4426073528145443,-0.07355000000000002,0.6491989780936926,1.5192307692307692,0.7705862653251044,1.5927807692307692,0.006441129032258054,62,1
Cayman Islands,CYM,0.6312222222222222,0.49394615341060794,0.775,1.355,-0.341,0.022741364203129156,0.6628582235046235,0.11805882352941177,0.36589914433287407,1.0470000000000002,0.2209509749544757,0.9289411764705884,-0.03368123698172849,54,0
Central African Rep.,CAF,0.4513870967741936,0.4617634625188287,0.432,1.268,-0.457,0.02176777215381128,0.71166887525877,0.04964999999999999,0.22193035299153507,1.0196923076923077,0.246543567689832,0.9700423076923077,0.016610483870967745,62,0
Chad,TCD,0.4575806451612904,0.4961403790807824,0.4375,1.527,-0.409,0.02250127168794541,0.6587097885018429,0.04295000000000001,0.3134340315046583,1.0569230769230769,0.2584142222409793,1.0139730769230768,0.016584274193548378,62,0
Chile,CHL,0.2651290322580645,0.33570472259119505,0.2755,1.022,-0.364,0.011707587318375262,0.3895014223173587,0.027750000000000004,0.2502653065932442,0.6159230769230769,0.30812645173112,0.5881730769230769,0.008185887096774197,62,0
"China, P.R.: Hong Kong",HKG,0.4168548387096774,0.5913410087298353,0.315,2.017,-0.769,0.024607010651960415,0.5545374197465566,-0.00819999999999999,0.3420173279697667,1.0976153846153847,0.5714931522572453,1.1058153846153846,0.03848427419354839,62,0
"China, P.R.: Macao",MAC,0.4168548387096774,0.5913410087298353,0.315,2.017,-0.769,0.024607010651960415,0.5545374197465566,-0.00819999999999999,0.3420173279697667,1.0976153846153847,0.5714931522572453,1.1058153846153846,0.03848427419354839,62,0
"China, P.R.: Mainland",CHN,0.5860967741935484,0.5963543466461761,0.429,1.906,-0.408,0.029346125758605925,0.7755001907322009,0.025500000000000002,0.2510209678807519,1.286153846153846,0.37105544198359497,1.260653846153846,0.021516532258064505,62,0
Colombia,COL,0.3842258064516129,0.4560085744579683,0.356,1.583,-0.431,0.020850746644506563,0.669555131888658,-0.008749999999999999,0.25267555127183616,1.0056153846153848,0.3003355175082079,1.0143653846153848,0.018658467741935497,62,0
"Comoros, Union of the",COM,0.27047540983606555,0.37448839884665813,0.235,1.296,-0.545,0.014757630944441626,0.5043909159123885,-0.02085,0.279758970506662,0.7212307692307693,0.2563770510550668,0.7420807692307694,0.010570466448274416,61,0
"Congo, Dem. Rep. of the",COD,0.4907258064516129,0.5324966505832822,0.39,1.692,-0.213,0.02581816121477676,0.7528457347538373,0.03905000000000001,0.20502130184575046,1.2596153846153844,0.3509509791175824,1.2205653846153843,0.03302983870967741,62,0
"Congo, Rep. of",COG,0.40837704918032797,0.5169509652344857,0.31,1.5,-0.314,0.024066405636271937,0.7043714390333308,0.0361,0.20865708458465632,1.122846153846154,0.3066118192312679,1.086746153846154,0.038058064516129045,61,0
Cook Islands,COK,0.1394354838709677,0.25514206169136583,0.1605,0.675,-0.43,0.007967439752209714,0.31229324728338564,-0.03580000000000001,0.22002047751587986,0.3351538461538462,0.28463685816429507,0.3709538461538462,-0.0015217741935483874,62,0
Costa Rica,CRI,0.40519999999999995,0.4089373546155939,0.4615,1.139,-0.549,0.020711801378103467,0.3664636683245608,0.03909999999999999,0.32215436258621943,0.7765,0.3005203820042827,0.7373999999999999,-0.01034141530296329,40,0
"Croatia, Rep. of",HRV,1.2839677419354838,0.6340985210858705,1.416,2.282,-0.055,0.04957903225806452,0.489071772189269,0.0,0.0,1.7273076923076924,0.43191866221457803,1.7273076923076924,0.028270378151260503,31,2
Cuba,CUB,0.6002741935483871,0.5162306989082666,0.6094999999999999,1.722,-0.349,0.025441187580267435,0.7778148740763713,0.047450000000000006,0.2762779826265758,1.1917692307692307,0.3612125768035018,1.1443192307692307,-0.008300806451612904,62,0
Cyprus,CYP,0.4244193548387097,0.7231408765706208,0.357,2.119,-0.928,0.029016947445292242,0.515640192689767,-0.03750000000000001,0.4833079545666183,1.3808461538461538,0.4695845408716529,1.418346153846154,0.058016935483870956,62,1
Czech Rep.,CZE,1.4056999999999997,0.7735632768774209,1.3780000000000001,2.672,-0.602,0.0551539488320356,0.3808377411259804,0.0,0.0,1.812692307692308,0.7358578196698266,1.812692307692308,0.03162499999999999,30,2
Denmark,DNK,0.7248548387096775,0.9849755498320298,0.7689999999999999,2.677,-1.204,0.03729649215582583,0.4591707472890201,-0.010799999999999995,0.7277349575367755,1.5776153846153849,0.867286336652198,1.5884153846153848,0.019543548387096772,62,1
Djibouti,DJI,0.5504426229508197,0.5943636775023384,0.434,1.811,-0.503,0.02919631685975377,0.7685248876520209,0.034600000000000006,0.34396961310098617,1.3419166666666664,0.2673031844633401,1.3073166666666665,0.017467020373514417,61,0
Dominica,DMA,0.38370967741935474,0.3922314321391906,0.437,1.193,-0.434,0.01758530382010023,0.6437305245494831,-0.013400000000000009,0.2586923391130659,0.809,0.1964281038955475,0.8224,-0.0012250000000000004,62,0
Dominican Rep.,DOM,0.5660322580645162,0.4963460670885345,0.616,1.488,-0.438,0.024049860240235706,0.7518740263141526,0.019049999999999994,0.29231138318040595,1.0846923076923074,0.24737231878802465,1.0656423076923074,-0.009712500000000006,62,0
Ecuador,ECU,0.5048548387096774,0.5157773915536403,0.5085,1.55,-0.569,0.022365818035305077,0.6021907912000084,0.026100000000000005,0.3415714304582032,1.0504615384615386,0.3271125227870412,1.0243615384615385,-0.003840725806451617,62,0
"Egypt, Arab Rep. of",EGY,0.3579838709677419,0.6605429704938858,0.3825,2.325,-1.123,0.026216438770114068,0.5044688819871154,-0.04340000000000001,0.3839141077184624,1.2313076923076924,0.530754083767518,1.2747076923076925,0.0498491935483871,62,1
El Salvador,SLV,0.40901612903225804,0.4014566015968112,0.4565,1.484,-0.423,0.01774941451990632,0.6260081606345308,0.028500000000000004,0.28906628269217716,0.8512307692307692,0.32091383938324053,0.8227307692307693,-0.004974596774193551,62,0
"Equatorial Guinea, Rep. of",GNQ,0.42375,0.4820958627009086,0.3395,1.602,-0.349,0.022830858151705585,0.7410209399450106,0.0167,0.21277071919643553,1.065,0.33488057572812435,1.0483,0.025739270687237043,60,0
"Estonia, Rep. of",EST,1.5555806451612904,0.8089860947883307,1.597,3.625,-0.35,0.05402983870967741,0.35684138432385853,0.0,0.0,1.9347692307692308,0.7614436019656077,1.9347692307692308,0.016624159663865504,31,2
"Eswatini, Kingdom of",SWZ,0.42956451612903224,0.49466292273425116,0.4665,1.623,-0.436,0.019818664853567026,0.5140663861085747,0.0007500000000000076,0.3085817941554727,0.9894615384615384,0.33063313389732923,0.9887115384615384,0.008904435483870966,62,0
"Ethiopia, The Federal Dem. Rep. of",ETH,1.0058333333333331,0.363518920491844,1.0615,1.532,0.132,0.03656796440489432,0.7580990924717101,0.0,0.0,1.3123076923076924,0.17191053129238698,1.3123076923076924,-0.022500000000000003,30,0
Faroe Islands,FRO,0.4125483870967741,0.5868930132051424,0.4735,1.764,-0.873,0.022719196192490743,0.479907109199182,-0.03995,0.4266382018328385,0.9304615384615385,0.4267314954755147,0.9704115384615385,0.014074193548387095,62,0
"Fiji, Rep. of",FJI,0.3813064516129032,0.43528639399490354,0.3325,1.346,-0.643,0.020170456548563375,0.6876546916952933,0.005,0.24464195104381894,0.9474615384615385,0.24402172559856752,0.9424615384615385,0.01873185483870968,62,0
Finland,FIN,0.793725806451613,1.1487259165133827,1.1045,3.317,-1.801,0.042419908841378966,0.43671263942879734,-0.01795000000000001,1.0456795058464943,1.8713846153846156,0.7590762520394486,1.8893346153846156,0.034805645161290324,62,1
France,FRA,0.7477580645161293,0.8227131488788721,0.747,2.929,-0.955,0.03750932990858956,0.6656882219143593,-0.025850000000000005,0.40648211911213844,1.693384615384615,0.6880252585554227,1.719234615384615,0.018268145161290324,62,1
French Polynesia,PYF,0.34464516129032263,0.3535345079098199,0.338,1.127,-0.516,0.016024879756238827,0.6579836095066568,-0.024300000000000006,0.24443255446893838,0.6941538461538462,0.23584806060747604,0.7184538461538462,-0.0020181451612903273,62,0
Gabon,GAB,0.39590322580645154,0.491742153443718,0.252,1.534,-0.374,0.023011961421268667,0.7013285770107366,0.029850000000000005,0.20997199687978446,1.0636153846153849,0.3044532089012307,1.033765384615385,0.032502016129032245,62,0
"Gambia, The",GMB,0.7731774193548386,0.5831289771622086,0.842,1.77,-0.547,0.02774291757951197,0.7248767252514661,0.11884999999999998,0.42553536249863194,1.321846153846154,0.29960553125564016,1.202996153846154,-0.024741129032258065,62,0
Georgia,GEO,0.9715483870967742,0.8308193328201511,1.06,2.51,-1.204,0.06425362903225806,0.4784891809478193,0.0,0.0,1.5537692307692306,0.5880771142526227,1.5537692307692306,-0.037393067226890765,31,2
Germany,DEU,0.767483870967742,0.937849680883564,0.9415,2.596,-1.084,0.038947445292236406,0.5523070926079904,-0.003649999999999995,0.6187171171485654,1.711153846153846,0.7752467183800098,1.714803846153846,0.019469758064516122,62,1
Ghana,GHA,0.5361451612903226,0.4646345024464753,0.564,1.494,-0.353,0.02278031275968875,0.7698136204731297,0.04954999999999998,0.2766379878393231,1.1013076923076923,0.24612577564305904,1.0517576923076923,0.0019161290322580599,62,0
Gibraltar,GIB,0.6529354838709678,0.6928602445070104,0.7255,2.228,-0.865,0.03138918687517312,0.6572914516640557,-0.03799999999999998,0.4076080418606503,1.457923076923077,0.4480450984626551,1.4959230769230771,0.01574395161290322,62,1
Greece,GRC,0.3494838709677419,0.6521072972749264,0.28700000000000003,1.905,-0.916,0.024773236634685603,0.4621857170328421,-0.04015,0.4219295619687697,1.2296153846153846,0.42065079310942677,1.2697653846153845,0.060932258064516125,62,1
Greenland,GRL,0.44569354838709674,1.093369010528551,0.5055000000000001,3.058,-2.062,0.03852320515726122,0.39755795189740983,-0.07849999999999999,0.6334651155601064,1.6384615384615384,0.7429463434399345,1.7169615384615384,0.08675766129032259,62,1
Grenada,GRD,0.3802903225806452,0.42865240399971477,0.4375,1.235,-0.447,0.018811009543955072,0.6167409970357772,-0.014000000000000002,0.2549951495926726,0.8456153846153845,0.23471881704908767,0.8596153846153846,0.006590322580645162,62,0
Guadeloupe,GLP,0.3961451612903226,0.4048248863467007,0.471,1.16,-0.434,0.018451688449044348,0.6653144550575798,-0.015850000000000003,0.2701138697504794,0.8493846153846155,0.19823955981822364,0.8652346153846155,0.0002915322580645252,62,0
Guatemala,GTM,0.4298225806451613,0.45301678827374203,0.4305,1.728,-0.392,0.020649517765858327,0.6653962863803169,0.024199999999999992,0.2795922971606674,0.9911538461538463,0.41058491735446684,0.9669538461538463,0.009529032258064514,62,0
Guinea,GIN,0.5978870967741934,0.4990009084237225,0.6225,1.559,-0.248,0.024890206743723407,0.7967892642244329,0.08180000000000001,0.2922667491035868,1.1808461538461539,0.26667984743066175,1.0990461538461538,0.002347580645161291,62,0
Guinea-Bissau,GNB,0.7192258064516127,0.5613906528795066,0.7905,1.674,-0.432,0.027999647452846815,0.7966433035645851,0.089,0.3507386191273616,1.3106153846153847,0.27488801915857136,1.2216153846153848,-0.013551612903225808,62,0
Guyana,GUY,0.5055161290322581,0.5388328707893386,0.4855,1.506,-0.486,0.02511797738661832,0.6959055591278428,0.002950000000000008,0.2904898720944909,1.1283846153846153,0.19377630507948182,1.1254346153846153,0.014606048387096768,62,0
Haiti,HTI,0.609774193548387,0.5185935203355582,0.661,1.537,-0.431,0.025094457455113194,0.7498779569594073,0.016699999999999986,0.2753579679731745,1.1385384615384613,0.29529494165004344,1.1218384615384613,-0.016678629032258065,62,0
Holy See,VAT,0.5800161290322581,0.6826876320585138,0.5065,2.028,-0.585,0.03099345269572663,0.6600623902951569,-0.0521,0.3164822935098631,1.4399230769230766,0.3657005745913045,1.4920230769230767,0.027694354838709686,62,1
Honduras,HND,0.447016129032258,0.4500098741545885,0.4415,1.813,-0.327,0.02098272518949409,0.6962558183619287,0.026150000000000007,0.27035245513958256,0.9965384615384617,0.33565175787429236,0.9703884615384617,0.004403225806451614,62,0
Hungary,HUN,0.6603064516129032,0.9105982009134236,0.617,2.524,-1.068,0.037024779028480774,0.5294445876969285,-0.01365000000000001,0.6157704010766556,1.7341538461538462,0.5607166316649088,1.747803846153846,0.04540201612903227,62,1
Iceland,ISL,0.354483870967742,0.6809709799589891,0.413,1.784,-1.239,0.025948981390546706,0.46502099222594473,-0.09895000000000001,0.5884092270019673,1.0546923076923076,0.39335509500860766,1.1536423076923077,0.030328629032258067,62,0
India,IND,0.2986935483870968,0.3856772672513973,0.2965,1.134,-0.519,0.017107627609478485,0.6301161811184474,-0.018600000000000005,0.2640507128325323,0.7288461538461539,0.24390840020857765,0.7474461538461539,0.00954072580645161,62,0
Indonesia,IDN,0.37174193548387097,0.40110974829452734,0.2895,1.488,-0.257,0.019355040165193522,0.745677190034901,0.007249999999999995,0.15806823143653403,0.9333846153846154,0.3229087947758465,0.9261346153846154,0.01399516129032257,62,0
"Iran, Islamic Rep. of",IRN,0.697774193548387,0.8164708757493623,0.702,2.37,-0.959,0.03658321371912065,0.6429414887089137,0.01255000000000001,0.5478764243109842,1.7050000000000003,0.41906682044752724,1.6924500000000002,0.03601491935483871,62,1
Iraq,IRQ,0.6306290322580644,0.9005860678517856,0.567,2.712,-1.169,0.03768938077610738,0.5608887052425925,0.006300000000000003,0.6109017579731923,1.7859230769230767,0.5685350269975255,1.7796230769230768,0.056497177419354824,62,1
Ireland,IRL,0.4371612903225806,0.5899156909021226,0.427,1.764,-0.773,0.023941326080934758,0.5274795732102211,-0.05235000000000001,0.41595802862662407,0.8984615384615384,0.47718211327623045,0.9508115384615384,0.002391532258064516,62,0
Isle of Man,IMN,0.4397580645161291,0.6202012858867746,0.40449999999999997,1.84,-0.82,0.025012943516909667,0.5208988738786943,-0.062349999999999996,0.44014366972614755,0.9356923076923078,0.522678260598778,0.9980423076923078,0.0052774193548387055,62,0
Israel,ISR,0.3335161290322581,0.7260470024315604,0.244,2.321,-1.066,0.02756989247311828,0.4617743541284015,-0.0686,0.4942028562826147,1.3166923076923078,0.5062491785368455,1.3852923076923078,0.06324274193548388,62,1
Italy,ITA,0.6495161290322581,0.7182594719839711,0.5345,2.135,-0.537,0.033947621565812984,0.7153937126447306,-0.0368,0.31504011440483337,1.5660769230769231,0.37014196860539456,1.602876923076923,0.028000403225806447,62,1
Jamaica,JAM,0.6292033898305086,0.5238194079946817,0.617,1.623,-0.361,0.025007107954755265,0.7447235942748314,-0.008647058823529412,0.25267269865788594,1.181153846153846,0.2954095592432779,1.1898009049773755,-0.013201883506429219,59,0
Japan,JPN,0.37453225806451607,0.5541512463201062,0.369,1.437,-0.686,0.022413462264863637,0.5239024221949198,-0.039650000000000005,0.34524793150796185,0.9456153846153845,0.3485980346238196,0.9852653846153845,0.017688709677419354,62,0
Jordan,JOR,0.36240322580645157,0.7815484724751907,0.379,2.625,-1.11,0.02898348064767949,0.4404315068517515,-0.0688,0.5666159564513367,1.3944615384615386,0.5699103168313144,1.4632615384615386,0.06311048387096775,62,1
"Kazakhstan, Rep. of",KAZ,1.3268064516129037,0.8259689683835406,1.487,2.853,-0.408,0.0439326612903226,0.22632761600455337,0.0,0.0,1.5585384615384614,0.7098317424320376,1.5585384615384614,-0.04373382352941178,31,2
Kenya,KEN,0.46080645161290323,0.5194967427855812,0.386,1.624,-0.641,0.02506358439727028,0.7454351055770888,0.004449999999999996,0.3024847060074626,1.1898461538461538,0.2532554198675868,1.1853961538461537,0.023855241935483867,62,0
Kiribati,KIR,0.2453793103448276,0.39080062945923116,0.175,1.425,-0.442,0.017813799978630824,0.6301085369078249,-0.03855000000000001,0.2140522501387773,0.8142727272727274,0.3625796714955462,0.8528227272727273,0.025551694917053898,58,0
"Korea, Dem. People's Rep. of",PRK,0.625790322580645,0.6918886992605183,0.609,1.864,-0.702,0.028196696129535896,0.5318793287421869,0.04305000000000001,0.425603902213017,1.1843846153846154,0.6044077732874193,1.1413346153846153,-0.0013766129032258025,62,0
"Korea, Rep. of",KOR,0.48587096774193544,0.6524056348491591,0.507,1.762,-0.808,0.02570990405681045,0.49734143549558,-0.006700000000000009,0.4919956247131087,1.0906923076923078,0.5310998626459661,1.0973923076923078,0.014978629032258066,62,0
Kuwait,KWT,0.772951612903226,0.9085188305151548,0.629,2.676,-0.781,0.04130868021455012,0.6620700033428671,0.042449999999999974,0.5759877077452992,1.9443846153846154,0.4481507444416329,1.9019346153846155,0.047840725806451614,62,1
Kyrgyz Rep.,KGZ,1.13141935483871,0.6314626019725209,1.28,2.619,-0.382,0.04442862903225807,0.3960231205639407,0.0,0.0,1.4106153846153846,0.5556480508471675,1.4106153846153846,-0.041238445378151245,31,2
Lao People's Dem. Rep.,LAO,0.5217258064516128,0.5666928441904024,0.472,2.2,-0.49,0.025178187403993864,0.6321826963287801,0.023750000000000004,0.3450284313227718,1.2524615384615387,0.47271989863353814,1.2287115384615388,0.01351895161290323,62,0
Latvia,LVA,1.5134193548387098,0.7846819686238844,1.562,3.55,-0.411,0.052233064516129024,0.35448156497072797,0.0,0.0,1.8924615384615384,0.740358540999406,1.8924615384615384,0.030667436974789915,31,2
